Tree	Node A-form	Node B-form	Node C-form	Absolute frequency	Relative frequency	Order	Number of nodes	Head node
ترقیات <nsubj استعمال <obj بنائیں	ترقیات	استعمال	بنائیں	58	79.4	ABC	3	بنائیں
کمپنیوں <nsubj خبروں <obj ہٹانا	کمپنیوں	خبروں	ہٹانا	49	67.1	ABC	3	ہٹانا
حکومت <nsubj اقدامات <obj اٹھائے	حکومت	اقدامات	اٹھائے	36	49.3	ABC	3	اٹھائے
حکومت <nsubj جدوجہد <obj رکھے	حکومت	جدوجہد	رکھے	35	47.9	ABC	3	رکھے
حکومت <nsubj اقدامات <obj کئے	حکومت	اقدامات	کئے	34	46.6	ABC	3	کئے
کسٹمرز <nsubj معلومات <obj کر	کسٹمرز	معلومات	کر	34	46.6	ABC	3	کر
انجنیئرز <nsubj کام <obj کر	انجنیئرز	کام	کر	33	45.2	ABC	3	کر
صارفین <nsubj اسٹوریز <obj دیکھا	صارفین	اسٹوریز	دیکھا	32	43.8	ABC	3	دیکھا
عملے <nsubj کاروبار <obj کر	عملے	کاروبار	کر	32	43.8	ABC	3	کر
ٹیم <nsubj کھیل <obj کھیلا	ٹیم	کھیل	کھیلا	29	39.7	ABC	3	کھیلا
ممالک <nsubj منصوبوں <obj کریں	ممالک	منصوبوں	کریں	27	37.0	ABC	3	کریں
گیم <nsubj تجربہ <obj کرتا	گیم	تجربہ	کرتا	27	37.0	ABC	3	کرتا
لوگوں <nsubj شخص <obj کیا	لوگوں	شخص	کیا	26	35.6	ABC	3	کیا
نگارنے <nsubj کہتے >obj کہانی	نگارنے	کہتے	کہانی	26	35.6	ABC	3	کہتے
پیشہ وران <nsubj کردار <obj بنا	پیشہ وران	کردار	بنا	26	35.6	ABC	3	بنا
صارفین <nsubj دوستوں <obj کر	صارفین	دوستوں	کر	25	34.2	ABC	3	کر
فینز <nsubj کی >obj اداکار	فینز	کی	اداکار	25	34.2	ABC	3	کی
کنندگان <nsubj معلومات <obj کر	کنندگان	معلومات	کر	25	34.2	ABC	3	کر
ٹیم <nsubj خصوصیات <obj کیا	ٹیم	خصوصیات	کیا	24	32.9	ABC	3	کیا
فیچر <nsubj تجربہ <obj کرتا	فیچر	تجربہ	کرتا	23	31.5	ABC	3	کرتا
صارفین <nsubj معلومات <obj کرنا	صارفین	معلومات	کرنا	22	30.1	ABC	3	کرنا
تاریخچہ <nsubj معلومات <obj ہوتی	تاریخچہ	معلومات	ہوتی	21	28.8	ABC	3	ہوتی
حکومت <nsubj سسٹم <obj بنا	حکومت	سسٹم	بنا	21	28.8	ABC	3	بنا
خاندان <nsubj تصاویر <obj کی	خاندان	تصاویر	کی	21	28.8	ABC	3	کی
سیاست <nsubj نتائج <obj کرے	سیاست	نتائج	کرے	21	28.8	ABC	3	کرے
صارف <nsubj لوکیشن <obj چھپانا	صارف	لوکیشن	چھپانا	21	28.8	ABC	3	چھپانا
لوگوں <nsubj باتیں <obj بتائیں	لوگوں	باتیں	بتائیں	21	28.8	ABC	3	بتائیں
مرغیاں <nsubj انڈے <obj دیتی	مرغیاں	انڈے	دیتی	20	27.4	ABC	3	دیتی
