Tree	Node A-form	Node B-form	Node C-form	Absolute frequency	Relative frequency	Order	Number of nodes	Head node
Males <nsubj had >obj income	Males	had	income	22	21.0	ABC	3	had
couple <nsubj had >obj children	couple	had	children	10	9.6	ABC	3	had
pope <nsubj continued >obj practice	pope	continued	practice	8	7.6	ABC	3	continued
game <nsubj takes >obj place	game	takes	place	6	5.7	ABC	3	takes
inscription <nsubj records >obj grant	inscription	records	grant	6	5.7	ABC	3	records
team <nsubj won >obj championship	team	won	championship	6	5.7	ABC	3	won
Stats <nsubj reflect >obj time	Stats	reflect	time	4	3.8	ABC	3	reflect
band <nsubj performed >obj song	band	performed	song	4	3.8	ABC	3	performed
bucket <nsubj has >obj range	bucket	has	range	4	3.8	ABC	3	has
city <nsubj has >obj area	city	has	area	4	3.8	ABC	3	has
club <nsubj broke >obj record	club	broke	record	4	3.8	ABC	3	broke
club <nsubj holds >obj record	club	holds	record	4	3.8	ABC	3	holds
codex <nsubj contains >obj text	codex	contains	text	4	3.8	ABC	3	contains
company <nsubj produces >obj products	company	produces	products	4	3.8	ABC	3	produces
edges <nsubj have >obj weight	edges	have	weight	4	3.8	ABC	3	have
election <nsubj took >obj place	election	took	place	4	3.8	ABC	3	took
forts <nsubj had >obj turrets	forts	had	turrets	4	3.8	ABC	3	had
government <nsubj joined >obj negotiations	government	joined	negotiations	4	3.8	ABC	3	joined
government <nsubj showed >obj interest	government	showed	interest	4	3.8	ABC	3	showed
lack <nsubj brought >obj freedom	lack	brought	freedom	4	3.8	ABC	3	brought
men <nsubj having >obj divisions	men	having	divisions	4	3.8	ABC	3	having
men <nsubj took >obj part	men	took	part	4	3.8	ABC	3	took
notion <nsubj formalizes >obj assertion	notion	formalizes	assertion	4	3.8	ABC	3	formalizes
orbit <nsubj has >obj eccentricity	orbit	has	eccentricity	4	3.8	ABC	3	has
panel <nsubj had >obj members	panel	had	members	4	3.8	ABC	3	had
player <nsubj received >obj entry	player	received	entry	4	3.8	ABC	3	received
players <nsubj won >obj award	players	won	award	4	3.8	ABC	3	won
plot <nsubj yield >obj Rg	plot	yield	Rg	4	3.8	ABC	3	yield
polygon <nsubj has >obj edges	polygon	has	edges	4	3.8	ABC	3	has
rebels <nsubj defeat >obj royalists	rebels	defeat	royalists	4	3.8	ABC	3	defeat
satellite <nsubj measures >obj kilometers	satellite	measures	kilometers	4	3.8	ABC	3	measures
series <nsubj averaged >obj viewers	series	averaged	viewers	4	3.8	ABC	3	averaged
son <nsubj played >obj football	son	played	football	4	3.8	ABC	3	played
states <nsubj have >obj right	states	have	right	4	3.8	ABC	3	have
station <nsubj has >obj platforms	station	has	platforms	4	3.8	ABC	3	has
surface <nsubj has >obj albedo	surface	has	albedo	4	3.8	ABC	3	has
team <nsubj meets >obj others	team	meets	others	4	3.8	ABC	3	meets
town <nsubj has >obj area	town	has	area	4	3.8	ABC	3	has
township <nsubj has >obj area	township	has	area	4	3.8	ABC	3	has
vertices <nsubj have >obj distances	vertices	have	distances	4	3.8	ABC	3	have
village <nsubj has >obj school	village	has	school	4	3.8	ABC	3	has
works <nsubj include >obj masses	works	include	masses	4	3.8	ABC	3	include
16s <nsubj downed >obj plane	16s	downed	plane	2	1.9	ABC	3	downed
1950s <nsubj saw >obj arrival	1950s	saw	arrival	2	1.9	ABC	3	saw
1970s <nsubj saw >obj struggles	1970s	saw	struggles	2	1.9	ABC	3	saw
1980s <nsubj saw >obj influx	1980s	saw	influx	2	1.9	ABC	3	saw
23s <nsubj carried >obj attacks	23s	carried	attacks	2	1.9	ABC	3	carried
23s <nsubj terrorising >obj villagers	23s	terrorising	villagers	2	1.9	ABC	3	terrorising
3 <nsubj has >obj R13	3	has	R13	2	1.9	ABC	3	has
A <nsubj given >obj value	A	given	value	2	1.9	ABC	3	given
AO751h <nsubj has >obj option	AO751h	has	option	2	1.9	ABC	3	has
AO751h <nsubj has >obj screen	AO751h	has	screen	2	1.9	ABC	3	has
AOD270- <nsubj feature >obj processor	AOD270-	feature	processor	2	1.9	ABC	3	feature
Act <nsubj placed >obj premium	Act	placed	premium	2	1.9	ABC	3	placed
Adaptatsiya <nsubj has >obj lyrics	Adaptatsiya	has	lyrics	2	1.9	ABC	3	has
Addresses <nsubj phased >obj mentions	Addresses	phased	mentions	2	1.9	ABC	3	phased
Amenities <nsubj include >obj ramp	Amenities	include	ramp	2	1.9	ABC	3	include
Analysis <nsubj gave >obj period	Analysis	gave	period	2	1.9	ABC	3	gave
Arches <nsubj connect >obj columns	Arches	connect	columns	2	1.9	ABC	3	connect
Authorities <nsubj evicted >obj collection	Authorities	evicted	collection	2	1.9	ABC	3	evicted
Authorities <nsubj made >obj effort	Authorities	made	effort	2	1.9	ABC	3	made
Boots <nsubj have >obj cuff	Boots	have	cuff	2	1.9	ABC	3	have
Boots <nsubj have >obj cuffs	Boots	have	cuffs	2	1.9	ABC	3	have
Branches <nsubj develop >obj lesions	Branches	develop	lesions	2	1.9	ABC	3	develop
Bucket <nsubj has >obj range	Bucket	has	range	2	1.9	ABC	3	has
CD <nsubj contains >obj parts	CD	contains	parts	2	1.9	ABC	3	contains
Campsites <nsubj include >obj places	Campsites	include	places	2	1.9	ABC	3	include
Captives <nsubj volunteer >obj pounamu	Captives	volunteer	pounamu	2	1.9	ABC	3	volunteer
Chapter <nsubj displays >obj influence	Chapter	displays	influence	2	1.9	ABC	3	displays
Charpentiera <nsubj include >obj calcarae	Charpentiera	include	calcarae	2	1.9	ABC	3	include
Church <nsubj contains >obj Bell	Church	contains	Bell	2	1.9	ABC	3	contains
Climate <nsubj has >obj climate	Climate	has	climate	2	1.9	ABC	3	has
Committee <nsubj gave >obj opinions	Committee	gave	opinions	2	1.9	ABC	3	gave
Content <nsubj describes >obj sections	Content	describes	sections	2	1.9	ABC	3	describes
Couch <nsubj has >obj spikelets	Couch	has	spikelets	2	1.9	ABC	3	has
Court <nsubj considered >obj proceedings	Court	considered	proceedings	2	1.9	ABC	3	considered
Court <nsubj convicted >obj pracharaks	Court	convicted	pracharaks	2	1.9	ABC	3	convicted
Court <nsubj established >obj existence	Court	established	existence	2	1.9	ABC	3	established
Court <nsubj held >obj votes	Court	held	votes	2	1.9	ABC	3	held
Coxeter <nsubj enumerated >obj polygons	Coxeter	enumerated	polygons	2	1.9	ABC	3	enumerated
Cr. <nsubj has >obj forewing	Cr.	has	forewing	2	1.9	ABC	3	has
DCPU <nsubj load >obj programs	DCPU	load	programs	2	1.9	ABC	3	load
Dating <nsubj has >obj stigma	Dating	has	stigma	2	1.9	ABC	3	has
Dinner <nsubj takes >obj place	Dinner	takes	place	2	1.9	ABC	3	takes
Directorate <nsubj has >obj offices	Directorate	has	offices	2	1.9	ABC	3	has
Discoveries <nsubj include >obj distribution	Discoveries	include	distribution	2	1.9	ABC	3	include
Editors <nsubj view >obj reporters	Editors	view	reporters	2	1.9	ABC	3	view
Elements <nsubj included >obj airships	Elements	included	airships	2	1.9	ABC	3	included
Employees <nsubj replace >obj suit	Employees	replace	suit	2	1.9	ABC	3	replace
Engineers <nsubj saw >obj advantage	Engineers	saw	advantage	2	1.9	ABC	3	saw
Episodes <nsubj made >obj block	Episodes	made	block	2	1.9	ABC	3	made
Examples <nsubj include >obj structures	Examples	include	structures	2	1.9	ABC	3	include
Excavations <nsubj show >obj support	Excavations	show	support	2	1.9	ABC	3	show
Family <nsubj met >obj husband	Family	met	husband	2	1.9	ABC	3	met
Flames <nsubj burst >obj heart	Flames	burst	heart	2	1.9	ABC	3	burst
Gold <nsubj represents >obj opportunity	Gold	represents	opportunity	2	1.9	ABC	3	represents
Government <nsubj denied >obj right	Government	denied	right	2	1.9	ABC	3	denied
Government <nsubj subsidises >obj flights	Government	subsidises	flights	2	1.9	ABC	3	subsidises
Groups <nsubj have >obj symmetry	Groups	have	symmetry	2	1.9	ABC	3	have
HB <nsubj measures >obj mm	HB	measures	mm	2	1.9	ABC	3	measures
Hats <nsubj rig >obj palace	Hats	rig	palace	2	1.9	ABC	3	rig
Heights <nsubj held >obj significance	Heights	held	significance	2	1.9	ABC	3	held
I <nsubj share >obj position	I	share	position	2	1.9	ABC	3	share
Improvements <nsubj included >obj groceries	Improvements	included	groceries	2	1.9	ABC	3	included
Information <nsubj influence >obj processing	Information	influence	processing	2	1.9	ABC	3	influence
Inn. <nsubj denotes >obj number	Inn.	denotes	number	2	1.9	ABC	3	denotes
Inspectors <nsubj confiscated >obj equipment	Inspectors	confiscated	equipment	2	1.9	ABC	3	confiscated
Items <nsubj form >obj basis	Items	form	basis	2	1.9	ABC	3	form
Laces <nsubj spread >obj load	Laces	spread	load	2	1.9	ABC	3	spread
Larvae <nsubj use >obj species	Larvae	use	species	2	1.9	ABC	3	use
Library <nsubj has >obj collection	Library	has	collection	2	1.9	ABC	3	has
Lines <nsubj run >obj substeps	Lines	run	substeps	2	1.9	ABC	3	run
Links <nsubj planned >obj mystery	Links	planned	mystery	2	1.9	ABC	3	planned
Links <nsubj weaves >obj spell	Links	weaves	spell	2	1.9	ABC	3	weaves
